ID,book_name,type,責任者,卷數,版本,時代,Time,地點,Location,來源,錄入員,錄入時間
fb9981f9-890e-427e-a15b-3d8de82ed7af,太平御覽,子部,宋-李昉-纂,1000,南宋慶元六年成都府學蒲叔獻刊本(鐮倉、天正文祿間補鈔）,南宋慶元六年/鐮倉時代/天正、文祿間,1199/1224-1333/1573-1596,成都府學,四川成都,《日本宮內廳書陵部藏宋元版漢籍選刊》74-100,于涵煦,44855
42c00138-2fc8-4bc7-a342-fb3f1f3e63f9,天台陳先生類編花果卉木全芳備祖,子部,宋-陳景沂-編輯/宋-祝穆-訂正,原58(現存41),南宋刻本,南宋,1127-1279,建,福建,《日本宮內廳書陵部藏宋元版漢籍選刊》101,于涵煦,44838
be33331a-908b-4a9d-bf56-71615ca03ae3,誠齋四六發遣膏馥,子部,宋-楊萬里-撰述/宋-周公恕-編類,原41(現存40）,南宋刻、元末明初刊、江戶補鈔本,南宋/元末明初/江戶,1127-1279/1350-1390/1603-1868,建安,福建建甌,《日本宮內廳書陵部藏宋元版漢籍選刊》102,于涵煦,44855
dce3d991-bb5e-4dac-8262-41e598bc1c99,纂圖增新群書類要類事林廣記,子部,宋-陳元靚-編,20,元順帝至元六年鄭氏積誠堂刊本,元順帝至元六年,1340,建,福建,《日本宮內廳書陵部藏宋元版漢籍選刊》103-104,于涵煦,44855
90e83720-4be9-4a16-a450-52fcfec2a6d7,新編排韻增廣事類氏族大全,子部,-,10,元刻本,元,1271-1368,建,福建,《日本宮內廳書陵部藏宋元版漢籍選刊》105,于涵煦,44856
ed368493-4b54-4a02-a1c8-c853ca14ce9d,集韻,经部,北宋-丁度-修定, 10（卷一原缺）,南宋金州軍本,南宋,1187,金州,陝西安康,《日本宮內廳書陵部藏宋元版漢籍選刊》27,呂淑嫻,44839
376a2ae0-4dee-11ed-bdc3-0242ac120002,諸病源候論,子部,隋-巢元方-編撰,50（卷四十至四十三原缺，以酌源堂藏本鈔補；卷三十七亦有兩葉為鈔補）,懷仙閣本,南宋,>1127,-,-,"《日本宮內廳書陵部藏宋元版漢籍選刊》68, 69",呂淑嫻,44849
268ad876-4eb8-11ed-bdc3-0242ac120002,程朱二先生周易傳義,经部,南宋-董楷-撰,10,翠巖精舍本,元,1314,福建建陽,福建建陽,《日本宮內廳書陵部藏宋元版漢籍選刊》01,呂淑嫻,44851
3e3d8322-4ed3-11ed-bdc3-0242ac120002,詩集傳音釋,集部,元-許謙-撰,10,宗文精舍覆刻本,元,>1352,福建建陽,福建建陽,《日本宮內廳書陵部藏宋元版漢籍選刊》07,呂淑嫻,44852
455248a0-4ed3-11ed-bdc3-0242ac120002,古今韻會舉要,经部,南宋-黃公紹-編撰; 元-熊忠-舉要,30,元刻本,元,>1335,福建,福建,"《日本宮內廳書陵部藏宋元版漢籍選刊》28, 29, 30",呂淑嫻,44854
